FileNames,New_IBM_Fellows.txt
acclaimed,1
accolades,1
achievements,3
active,1
almaden,1
and,1
architecture,4
architectures,1
areas,1
ariz,1
assessmentmitigation,1
authors,1
availability,1
awards,2
beyond,1
bit,1
blueprints,1
booch,2
bridge,1
brightest,1
canada,2
cash,1
center,1
chamberlin,2
charles,2
chief,3
co,1
company,3
companys,3
compilers,1
conferred,1
contributions,2
contributor,1
corporate,1
covering,1
coveted,1
creation,1
creative,1
ctre,4
customer,1
customers,2
data,1
database,3
defines,1
defining,1
delivers,1
design,1
designation,1
designs,2
development,2
directions,1
distinction,2
distinguished,1
donald,1
donofrio,1
dr,4
driver,1
earned,2
ebusiness,1
effectiveness,1
efficiency,1
elevated,1
emerging,1
employees,6
encouraged,1
energized,1
engagements,1
engineering,3
enhance,1
enhances,1
enterprise,1
eserver,2
established,1
event,1
excellence,1
exceptional,3
exciting,1
expert,1
extraordinary,1
fellow,4
fellows,2
focusing,2
galambos,2
generation,1
george,1
global,1
grady,1
granted,1
group,3
hardware,1
high,1
highperformance,1
history,1
honor,2
honorees,1
ibm,14
ibms,1
igs,2
including,2
individuals,1
industrystandard,1
influenced,1
initiating,1
initiatives,1
innovation,1
innovative,1
innovators,1
internationally,1
internet,1
inventor,1
java,2
language,3
languages,2
lead,1
leader,1
leaders,1
leadership,1
led,1
major,1
manufacturing,1
market,1
means,1
microprocessor,1
middleware,1
million,1
modeling,2
mr,1
named,1
newly,1
nick,1
objectoriented,1
officer,1
operational,1
original,1
our,1
outstanding,1
passion,1
patterns,1
peers,1
permeates,1
platform,1
portions,1
potential,1
preeminent,1
presented,1
president,2
prestigious,1
principal,1
process,1
processor,1
products,1
programming,2
projects,1
provided,1
query,1
rational,1
recognition,2
recognize,1
recognized,1
reference,1
reinvention,1
relational,2
research,2
researcher,1
reuse,1
reward,1
risk,1
roadmap,1
rod,2
science,1
scientist,1
scottsdale,1
semistructured,1
senior,1
server,1
services,3
share,1
smith,1
software,6
softwareintensive,1
solution,1
solutions,1
special,2
specializes,1
sql,1
stability,1
strategist,1
structure,1
structured,1
sustained,1
system,1
systems,3
technical,8
technologies,1
technology,4
title,2
today,1
tools,1
tradition,1
typically,1
uml,1
unified,1
unstructured,1
vice,2
visual,1
web,1
webb,2
widely,2
work,3
world,1
xml,1
xquery,1
yielded,1
zseries,1
